UTC,Latitude,Longitude,Heading angle,Ship speed,Wind direction,Wind speed
2023-12-13 6:05,35.52817333,129.37551,294.45,0.5565,46.9,3.75
2023-12-13 6:06,35.52817333,129.37551,294.45,0.5565,46.9,3.75
2023-12-13 6:07,35.52800667,129.3754817,300.1,0.55,38.45,3.75
2023-12-13 6:08,35.52768,129.37582,314.65,1.425,29.5,3.7
2023-12-13 6:09,35.52719667,129.3761083,326.65,2.1075,14.35,3.1
2023-12-13 6:10,35.526115,129.3763583,348.15,2.187,341.1,4
2023-12-13 6:11,35.52594667,129.37669,20.9,1.297,315.85,4.25
2023-12-13 6:12,35.52569833,129.37736,87.2,2.168,250.75,4.25
2023-12-13 6:13,35.525315,129.3780233,127.15,2.404,214.1,2.55
2023-12-13 6:14,35.525315,129.3780233,127.15,2.404,214.1,2.55
2023-12-13 6:15,35.52472,129.37875,136.9,2.785,200.6,2.8
2023-12-13 6:16,35.52277167,129.38121,130.9,5.2455,218.65,1.3
2023-12-13 6:17,35.52277167,129.38121,130.9,5.2455,218.65,1.3
2023-12-13 6:18,35.52163333,129.3828017,130.7,6.198,231,1.1
2023-12-13 6:19,35.52045167,129.38449,130.4,6.563,238.7,0.95
2023-12-13 6:20,35.51939667,129.385985,130.55,5.8745,209.75,0.8
2023-12-13 6:21,35.51842,129.3872583,131.65,5.174,228.65,2.1
2023-12-13 6:22,35.51735833,129.3881567,148.1,4.7605,199.05,1.8
2023-12-13 6:23,35.51522167,129.389705,149.45,4.4615,192.95,2.6
2023-12-13 6:24,35.51403667,129.390545,149.55,4.495,210.1,1.8
2023-12-13 6:25,35.51403667,129.390545,149.55,4.495,210.1,1.8
2023-12-13 6:26,35.508475,129.3922233,172.35,11.586,46.95,2
2023-12-13 6:27,35.508475,129.3922233,172.35,11.586,46.95,2
2023-12-13 6:28,35.50169,129.3927467,176.6,12.3425,47.95,2.9
2023-12-13 6:29,35.50169,129.3927467,176.6,12.3425,47.95,2.9
2023-12-13 6:30,35.49610833,129.3930267,177.3,9.414,71.15,1.5
2023-12-13 6:31,35.49610833,129.3930267,177.3,9.414,71.15,1.5
2023-12-13 6:32,35.49354,129.3931783,177.4,9.2145,92.8,2.05
2023-12-13 6:33,35.49075667,129.3933733,177.25,9.944,101.25,1.4
2023-12-13 6:34,35.48771667,129.3935867,177.6,10.994,77.45,1.6
2023-12-13 6:35,35.48459667,129.3938233,177.55,11.3035,73.1,2
2023-12-13 6:36,35.48147,129.3940617,177.15,11.3265,71.35,2.3
2023-12-13 6:37,35.478355,129.3942567,177.4,11.2855,83.3,2.5
2023-12-13 6:38,35.47207,129.39468,176.65,11.3565,94.05,1.65
2023-12-13 6:39,35.47207,129.39468,176.65,11.3565,94.05,1.65
2023-12-13 6:40,35.46892,129.3948933,177.2,11.396,77.8,1.55
2023-12-13 6:41,35.46259,129.3953767,176.9,11.442,91.95,1.8
2023-12-13 6:42,35.46259,129.3953767,176.9,11.442,91.95,1.8
2023-12-13 6:43,35.45958333,129.3961917,164.15,11.2145,81.25,1.5
2023-12-13 6:44,35.45659667,129.3972967,163.3,11.2775,92.9,0.7
2023-12-13 6:45,35.4536,129.3983933,163,11.35,130.3,0.4
2023-12-13 6:46,35.45058833,129.3994817,163.5,11.3655,107.25,0
2023-12-13 6:47,35.44758,129.4005717,163.4,11.338,101.95,0
2023-12-13 6:48,35.44456167,129.4016533,163.65,11.3415,124.6,0.2
2023-12-13 6:49,35.44161167,129.40272,161.4,11.122,123.85,0.95
2023-12-13 6:50,35.435755,129.40502,160.15,11.095,141.6,0.2
2023-12-13 6:51,35.435755,129.40502,160.15,11.095,141.6,0.2
2023-12-13 6:52,35.432905,129.40613,160.5,11.122,145,1.1
2023-12-13 6:53,35.42996833,129.40725,160.8,11.1285,116.85,0.9
2023-12-13 6:54,35.42700833,129.408435,160.35,11.235,110.4,1
2023-12-13 6:55,35.42106833,129.4106867,161.55,11.2825,109.15,1.4
2023-12-13 6:56,35.42106833,129.4106867,161.55,11.2825,109.15,1.4
2023-12-13 6:57,35.41508667,129.4130017,161.1,11.3465,115.8,0.65
2023-12-13 6:58,35.411965,129.4136133,172.25,11.3935,92.65,1.4
2023-12-13 6:59,35.411965,129.4136133,172.25,11.3935,92.65,1.4
2023-12-13 7:00,35.408815,129.413885,174.65,11.3915,95.55,3.45
2023-12-13 7:01,35.40563,129.4141033,175.65,11.503,89.75,2.7
2023-12-13 7:02,35.39939167,129.415295,163.9,11.3665,119.45,1
2023-12-13 7:03,35.39939167,129.415295,163.9,11.3665,119.45,1
2023-12-13 7:04,35.39314333,129.41627,175.45,11.333,97.3,2.6
2023-12-13 7:05,35.39001,129.4164533,175.3,11.303,112,2.1
